Voter ID,Age,2020 marriage,Zip,Outcome,Swing Voter,Party_1,Party_2,Party_3,Sex_0,Sex_1,Ethnicity_2,Ethnicity_3
8799003,4,59,85204,0,High_Chance,0,0,1,0,1,1,0
8799097,1,1,85204,0,High_Chance,0,0,1,0,1,1,0
8680429,1,1,85201,0,Low_Chance,0,1,0,0,1,0,1
8683643,1,2,85210,0,Low_Chance,1,0,0,1,0,0,1
8724284,3,59,85213,1,Low_Chance,0,1,0,0,1,0,1
8724295,6,34,85213,0,Low_Chance,1,0,0,0,1,0,1
8724321,3,78,85210,0,Low_Chance,1,0,0,0,1,0,1
8724551,5,54,85204,0,Low_Chance,1,0,0,0,1,1,0
8727522,1,1,85210,0,Low_Chance,0,1,0,1,0,0,1
8729476,4,96,85224,0,Low_Chance,0,1,0,0,1,0,1
8729731,2,15,85224,0,Low_Chance,0,1,0,1,0,0,1
8729903,3,66,85202,0,High_Chance,0,0,1,1,0,0,1
8729924,6,69,85225,0,Low_Chance,1,0,0,0,1,1,0
8730264,1,1,85210,0,High_Chance,0,0,1,1,0,0,1
8461619,3,94,85202,0,High_Chance,1,0,0,1,0,0,1
8558391,1,4,85204,0,Low_Chance,1,0,0,1,0,1,0
8559409,1,2,85204,0,Low_Chance,0,1,0,0,1,0,1
8559863,1,5,85203,0,Low_Chance,1,0,0,0,1,1,0
8560039,6,20,85201,0,Low_Chance,1,0,0,1,0,0,1
8560544,2,7,85202,0,High_Chance,0,0,1,1,0,0,1
8561220,2,2,85210,0,Low_Chance,0,0,1,1,0,0,1
8561525,2,0,85224,0,Low_Chance,1,0,0,0,1,0,1
8565549,6,19,85201,0,Low_Chance,0,1,0,1,0,0,1
8565779,6,96,85233,0,Low_Chance,0,0,1,0,1,0,1
8566996,2,4,85203,0,High_Chance,0,1,0,0,1,1,0
8594180,6,24,85204,0,Low_Chance,1,0,0,0,1,0,1
8594353,2,2,85202,0,Low_Chance,1,0,0,1,0,1,0
8594783,2,3,85202,0,Low_Chance,1,0,0,1,0,0,1
8595226,3,40,85202,0,High_Chance,0,0,1,1,0,0,1
8595432,2,2,85204,0,Low_Chance,1,0,0,1,0,1,0
8595566,3,14,85204,1,Low_Chance,0,1,0,0,1,0,1
8595998,4,68,85204,0,Low_Chance,0,0,1,1,0,1,0
8596105,2,2,85202,0,Low_Chance,1,0,0,0,1,0,1
8596286,3,53,85204,0,Low_Chance,1,0,0,1,0,0,1
8597399,1,1,85202,0,Low_Chance,1,0,0,1,0,0,1
8597881,1,4,85201,0,Low_Chance,1,0,0,1,0,0,1
8597978,2,1,85204,0,High_Chance,1,0,0,0,1,0,1
8599564,5,64,85204,0,Low_Chance,1,0,0,1,0,1,0
8600596,3,95,85202,0,Low_Chance,0,0,1,1,0,0,1
8600824,1,8,85202,0,Low_Chance,1,0,0,0,1,0,1
8601175,2,21,85202,0,High_Chance,0,0,1,0,1,0,1
8660615,6,60,85204,0,High_Chance,0,0,1,0,1,1,0
8661077,3,60,85203,0,High_Chance,0,0,1,0,1,1,0
8661165,2,3,85202,0,Low_Chance,0,1,0,0,1,0,1
8661643,4,97,85224,1,Low_Chance,0,0,1,1,0,1,0
8661664,5,98,85204,0,Low_Chance,1,0,0,1,0,1,0
8661818,2,2,85204,0,Low_Chance,1,0,0,1,0,1,0
8661868,4,28,85213,0,Low_Chance,0,1,0,1,0,0,1
8662894,2,14,85201,0,Low_Chance,0,0,1,1,0,0,1
8662930,1,1,85213,0,Low_Chance,0,1,0,0,1,1,0
