Voter ID,Party,Sex,Age,Ethnicity,Voter Score,Turnout Score,PartisanshipScore,Kids in HH,Liberal Ideology, marriage,Zip,Outcome
292616,1,1,68,2,69.96,99,84,3,74,81,85204,0
292627,2,0,56,3,5.5,92,0,73,9,98,85204,0
292634,2,1,58,2,5.62,85,0,57,8,97,85204,0
292653,2,0,50,3,4.87,99,0,78,10,60,85204,0
292671,1,1,74,2,95.26,98,99,1,78,34,85204,0
292687,3,0,69,2,87.89,99,32,8,67,94,85204,0
345944,2,1,53,3,7.28,89,56,3,65,16,85210,1
345954,2,1,66,3,9.67,99,0,15,4,97,85210,0
345968,2,0,72,3,8.0,99,0,3,8,97,85210,0
345992,2,1,81,3,13.52,99,0,0,6,29,85210,0
346013,3,0,75,3,76.81,60,74,2,42,32,85210,0
346251,2,1,49,3,5.68,92,0,94,6,78,85204,0
346831,2,0,65,3,7.11,99,1,7,11,25,85204,0
346861,2,0,52,3,4.22,99,0,86,2,98,85204,0
632479,1,0,72,3,98.32,99,99,47,84,74,85224,0
632647,3,1,52,3,83.55,87,96,85,88,99,85283,0
633001,3,1,81,3,77.35,87,37,3,22,94,85282,1
633564,2,0,43,3,5.04,96,1,95,10,96,85204,0
633621,1,0,39,2,95.9,98,99,36,77,23,85282,0
634030,1,1,70,3,97.61,99,98,5,95,91,85202,0
634370,2,1,44,3,7.12,98,1,56,11,72,85204,0
634512,2,0,57,3,12.84,74,0,71,19,46,85202,0
634539,2,0,96,3,5.94,96,1,2,7,15,85201,0
635288,2,0,78,3,45.78,97,0,2,9,83,85283,0
635661,2,1,95,3,9.59,95,0,2,5,49,85282,0
636602,1,0,61,3,92.3,98,53,77,44,70,85210,1
636892,1,1,71,3,50.67,99,3,4,13,98,85283,0
636901,2,0,64,3,21.48,99,0,10,19,90,85283,0
636908,1,1,72,3,53.19,71,97,5,50,96,85283,0
636931,1,0,61,3,96.77,99,95,33,92,57,85283,0
636989,2,1,92,3,8.12,97,0,4,5,93,85282,0
637950,3,1,76,3,86.21,67,7,1,32,93,85282,0
638607,2,0,68,3,8.3,99,0,1,17,34,85234,0
638958,1,1,68,3,94.98,98,95,20,96,96,85283,0
639587,1,0,63,3,96.35,99,98,9,83,76,85202,0
639626,1,1,67,3,94.53,99,98,3,73,47,85283,0
640130,3,1,92,3,9.43,69,9,4,7,39,85283,0
640157,2,1,88,3,5.58,98,0,3,2,96,85283,0
640175,2,0,81,3,7.76,99,2,2,7,79,85283,0
640189,3,1,72,3,41.99,6,26,2,36,45,85283,0
640198,2,0,82,3,31.96,77,0,1,4,94,85283,0
640657,1,0,68,3,93.2,99,96,18,85,41,85283,0
640801,2,1,59,3,4.17,99,1,13,12,9,85210,0
641150,1,0,88,3,97.18,98,99,0,83,23,85282,0
641461,3,0,91,3,80.99,78,48,2,15,87,85201,1
641547,1,1,70,2,92.1,99,98,3,76,94,85283,0
642035,3,0,50,2,25.84,76,49,20,60,21,85202,1
642168,1,1,48,3,95.4,98,95,37,69,35,85202,0
642468,2,1,69,3,72.58,98,1,2,9,50,85203,0
642701,2,1,66,3,4.64,99,0,19,7,78,85202,0
642794,1,1,47,3,86.73,98,27,56,53,58,85282,0
642841,2,0,60,3,5.09,99,0,29,5,94,85283,0
643649,1,1,67,3,96.49,97,97,15,82,87,85282,0
643798,2,1,84,3,43.16,98,2,2,6,94,85282,0
643905,3,1,63,3,54.14,85,19,20,5,96,85202,0
644658,2,0,87,3,12.61,98,0,5,4,98,85282,0
644708,1,1,73,3,97.7,99,97,3,88,97,85283,0
645264,3,0,41,3,71.66,91,77,82,64,98,85202,0
646953,3,0,40,3,7.32,90,1,92,5,99,85210,0
646976,3,0,62,3,80.76,99,2,40,19,88,85282,0
648061,1,0,87,3,94.31,97,98,1,82,94,85282,0
650628,1,1,92,3,96.28,96,97,10,93,98,85282,0
651743,3,1,65,3,21.7,90,40,32,35,96,85204,1
651917,2,0,65,3,13.77,71,0,7,12,66,85283,0
652025,1,0,54,3,94.78,80,98,42,79,20,85204,0
652569,1,0,53,3,93.27,98,99,60,89,78,85203,0
653123,1,1,51,3,53.14,70,4,83,26,96,85201,0
653336,2,1,68,3,3.3,99,0,71,3,97,85213,0
654138,2,1,54,3,8.39,99,3,83,2,99,85234,0
654824,3,1,50,3,30.24,60,65,32,56,53,85213,1
655002,1,1,46,3,85.26,99,97,83,92,98,85213,0
655732,2,1,40,3,4.22,97,0,54,10,74,85204,0
603760,1,0,89,3,97.66,98,98,1,93,58,85282,0
603784,2,0,64,3,11.12,99,54,6,61,64,85210,1
605197,1,1,50,3,97.35,98,98,34,82,95,85202,0
605851,1,1,54,3,88.54,96,92,39,61,48,85210,0
619757,2,0,81,3,9.88,69,0,34,7,63,85282,0
620005,1,1,68,3,96.28,99,98,4,84,50,85210,0
620161,3,0,85,3,70.44,61,97,1,61,84,85201,0
620170,2,0,76,3,9.46,99,2,1,6,90,85282,0
620238,3,1,86,3,88.08,98,32,1,41,25,85282,0
620301,1,1,84,3,52.92,99,33,2,17,95,85282,0
620311,2,1,82,3,7.08,98,0,1,5,87,85282,0
620360,1,0,61,3,97.36,99,98,9,96,58,85282,0
620372,2,1,67,3,10.95,98,1,12,11,84,85282,0
620609,1,0,70,3,97.32,99,98,14,87,97,85282,0
620702,2,0,81,3,13.34,99,0,1,12,98,85282,0
621091,3,0,49,3,12.59,89,2,80,13,76,85213,0
621197,2,0,71,3,7.19,99,1,4,13,92,85282,0
621451,2,1,70,3,5.98,97,0,9,7,78,85213,0
354284,2,0,85,3,4.21,98,0,1,4,99,85213,0
354340,2,1,75,3,5.1,98,0,2,5,96,85203,0
354343,3,0,56,3,16.31,94,1,84,37,99,85213,0
354379,2,0,66,3,5.89,91,0,11,15,89,85213,0
354405,3,0,70,3,7.66,98,2,22,4,97,85213,0
354436,2,0,72,3,8.12,99,0,2,5,91,85213,0
354486,2,1,62,3,7.31,99,3,55,5,99,85213,0
354506,2,1,72,3,6.13,99,0,3,4,97,85213,0
354509,3,0,51,3,22.55,36,2,57,38,55,85213,0
354530,2,0,70,3,5.29,99,0,4,10,97,85213,0
354532,1,0,62,3,96.83,99,98,11,95,98,85213,0
354557,2,1,65,3,5.61,99,0,17,4,91,85213,0
354625,1,1,93,3,81.78,1,95,0,35,60,85213,0
354697,2,1,52,3,4.77,98,0,73,3,90,85213,0
354724,2,0,76,3,5.05,91,0,2,12,95,85213,0
354778,3,1,64,3,10.95,99,1,22,10,51,85213,0
354799,2,0,84,3,6.68,98,0,3,7,39,85213,0
354824,3,0,61,3,87.67,89,9,58,46,98,85213,0
354846,1,1,86,3,85.64,77,98,1,74,97,85213,0
354848,2,0,99,3,8.61,6,1,1,19,48,85213,0
354866,2,0,82,3,4.83,98,0,3,6,96,85213,0
354908,2,1,48,3,6.78,24,1,28,14,63,85213,0
354940,1,0,54,3,38.89,91,84,65,75,99,85213,0
354959,1,0,57,3,92.38,86,94,67,90,98,85213,0
354961,1,0,72,3,49.5,75,98,3,80,97,85213,0
354982,2,0,66,3,4.67,99,0,47,5,95,85213,0
355008,2,1,67,3,3.66,99,0,26,2,99,85213,0
355027,2,0,70,3,3.33,99,0,24,5,96,85213,0
355029,2,1,42,3,5.64,99,2,90,5,97,85203,0
355056,2,1,66,3,4.92,99,0,37,6,99,85213,0
355083,1,1,65,3,96.58,99,98,28,94,97,85213,0
355085,2,1,64,3,5.55,99,0,53,5,99,85213,0
355287,3,1,69,3,8.52,85,1,6,14,74,85213,0
355306,2,0,70,3,7.05,76,1,3,16,95,85213,0
355333,1,0,64,3,90.63,99,99,19,55,29,85213,0
355353,2,0,61,3,7.09,99,0,8,11,93,85213,0
355356,2,0,51,3,15.32,90,0,93,8,99,85213,0
355378,2,1,66,3,5.82,81,0,28,10,89,85201,0
355380,2,0,60,3,4.37,98,0,67,14,98,85213,0
355458,2,0,75,3,9.0,28,1,1,21,68,85213,0
355460,2,1,58,3,3.51,99,0,89,3,99,85213,0
355478,2,0,68,3,3.81,99,0,38,7,98,85213,0
355499,2,0,74,3,9.46,99,7,20,5,96,85213,0
355504,3,0,72,3,21.98,85,12,2,42,39,85213,0
355526,2,1,67,3,5.67,98,0,2,9,56,85204,0
355550,1,0,57,3,94.6,98,98,32,88,48,85201,0
355552,2,1,65,3,6.95,73,1,84,7,98,85213,0
355572,3,1,71,3,54.18,99,0,10,9,69,85213,0
355672,3,0,79,3,8.43,93,3,3,15,98,85213,0
356222,2,0,55,3,4.68,99,1,89,8,97,85203,0
356340,2,1,65,3,4.26,99,0,14,6,90,85213,0
356457,2,0,87,3,5.15,97,0,1,9,27,85201,0
356504,2,1,53,3,10.71,34,3,16,33,35,85203,0
356526,1,0,41,3,76.71,44,98,58,82,18,85213,0
356577,1,0,68,3,97.0,98,99,5,79,57,85201,0
356770,3,0,38,3,18.03,95,70,68,68,95,85224,0
356819,2,0,61,3,7.43,90,0,51,20,97,85213,0
357047,2,1,69,3,5.87,98,0,1,4,42,85210,0
357185,2,0,72,3,9.93,99,0,10,7,97,85213,0
357213,3,1,63,3,6.42,99,1,84,10,98,85213,0
269371,1,1,75,3,96.94,99,99,2,89,88,85202,0
269373,3,1,74,3,67.24,91,82,4,33,97,85202,0
269391,2,1,86,3,18.21,97,0,2,6,97,85202,0
269414,2,0,77,3,23.95,96,1,10,23,83,85202,0
269443,1,0,66,3,96.99,97,99,4,77,24,85202,0
269470,2,1,73,3,74.76,91,34,4,34,95,85202,0
269486,1,0,79,3,94.6,99,98,4,50,83,85202,0
269530,2,1,65,3,20.07,93,5,11,6,98,85202,0
269556,3,0,77,3,4.54,99,1,2,8,92,85202,0
269559,2,0,60,3,5.41,99,4,51,4,98,85202,0
269579,1,0,68,3,97.25,99,98,61,78,93,85202,0
269603,1,1,62,3,49.07,88,97,19,67,33,85202,0
269605,2,0,74,3,6.73,99,0,1,8,95,85202,0
269636,2,0,62,3,24.25,99,1,70,6,81,85202,0
269655,2,1,74,3,13.8,82,0,61,3,99,85202,0
269677,1,0,81,2,90.43,98,99,1,37,85,85202,0
269705,2,1,60,3,18.32,86,1,28,7,49,85202,0
269707,2,0,69,3,7.92,99,3,1,9,96,85202,0
269730,2,1,56,3,27.7,86,4,87,8,97,85202,0
269775,1,0,68,3,86.06,99,8,6,58,98,85202,0
269777,3,1,64,3,44.64,99,34,22,48,97,85202,0
269798,2,1,64,3,6.27,99,0,73,4,98,85202,0
269800,2,1,69,3,5.04,99,0,44,2,98,85202,0
269821,3,0,52,3,81.55,91,62,80,61,98,85202,1
269852,1,0,77,3,95.63,99,99,3,92,25,85202,0
269881,2,0,71,2,8.02,99,38,6,15,91,85202,1
269886,1,0,63,3,92.46,99,11,6,83,90,85202,0
269916,2,0,91,3,43.72,46,1,1,6,14,85202,0
269947,2,0,73,3,6.91,99,5,8,23,91,85202,0
269949,2,0,76,3,13.82,99,4,6,7,79,85202,0
269968,1,0,73,3,88.75,99,96,3,85,76,85202,0
269975,2,1,74,3,6.74,99,0,5,4,98,85202,0
270002,1,0,71,3,98.36,99,96,2,94,97,85210,0
270007,2,1,85,3,6.99,98,0,4,6,95,85202,0
270028,3,1,61,3,89.09,91,31,5,34,48,85202,0
270032,2,1,69,3,44.8,86,1,5,6,87,85202,0
270056,3,1,52,3,77.09,90,19,93,11,98,85210,0
270083,1,0,61,3,68.21,99,11,33,53,94,85202,0
270113,2,0,73,3,8.0,99,0,2,6,98,85202,0
270141,2,1,75,3,7.76,87,0,4,3,97,85202,0
270169,2,0,76,3,5.11,98,0,7,5,95,85202,0
270171,2,0,67,3,7.73,81,12,33,12,92,85202,0
270191,1,0,69,3,94.42,98,98,7,70,96,85202,0
270208,1,1,65,3,69.73,99,98,24,65,97,85202,0
270210,1,0,72,3,88.5,98,98,22,74,93,85202,0
270259,1,0,71,3,94.32,98,98,1,68,11,85203,0
270263,3,0,67,3,84.05,99,98,1,80,46,85202,0
270287,1,0,53,3,97.25,99,96,48,89,82,85202,0
270289,2,1,63,3,11.8,90,7,15,13,96,85202,0
270315,1,0,75,3,96.37,99,99,13,92,59,85202,0
270334,2,1,43,2,5.51,89,1,94,7,98,85202,0
270358,2,1,74,3,6.38,99,1,3,8,94,85202,0
270360,1,1,68,2,88.77,99,96,8,81,98,85202,0
270384,3,1,78,3,47.28,87,2,3,11,97,85202,0
270414,1,0,59,2,87.96,74,98,71,50,91,85210,0
270440,3,0,73,3,72.31,99,87,7,27,98,85202,0
270469,1,0,73,3,84.51,99,97,6,76,94,85202,0
270543,2,1,73,3,15.92,99,0,9,7,94,85202,0
270545,1,0,42,3,82.31,98,98,48,92,25,85210,0
292229,1,0,89,2,94.71,97,98,3,49,90,85204,0
292248,3,0,42,3,47.68,22,79,40,80,26,85210,0
292293,3,0,90,3,8.34,96,2,4,4,78,85204,0
292295,3,1,52,3,29.63,95,51,74,40,98,85213,1
292314,1,0,81,3,95.34,98,98,15,78,54,85204,0
292361,2,0,68,3,7.54,98,0,11,29,87,85204,0
292372,1,0,61,3,80.71,98,73,53,39,79,85204,0
292406,3,1,64,3,25.79,39,10,48,16,94,85204,0
292408,1,0,86,3,91.89,92,96,1,75,17,85204,0
292420,2,0,66,3,3.67,99,0,8,2,96,85204,0
292465,2,1,54,3,7.78,89,4,80,11,82,85204,0
292528,1,0,58,3,59.7,98,0,50,10,42,85204,0
292572,3,1,63,3,11.51,99,3,12,25,89,85204,0
292582,2,1,69,3,5.65,99,0,12,6,81,85204,0
292638,2,0,82,3,12.95,98,0,1,22,89,85204,0
292672,1,0,69,3,97.57,99,99,7,94,32,85204,0
292683,3,0,38,3,53.11,27,9,79,28,58,85204,0
292686,3,1,75,3,35.55,97,4,7,35,98,85204,0
292742,2,1,58,3,54.16,84,1,71,9,87,85204,0
292789,2,1,72,3,18.49,86,94,49,53,99,85204,0
636990,2,0,93,3,7.63,97,0,3,5,91,85282,0
637241,2,1,79,3,8.09,98,0,7,20,53,85202,0
637458,2,1,62,3,11.58,85,1,7,18,33,85283,0
637462,1,0,87,2,93.53,97,99,1,80,82,85283,0
638190,2,0,63,3,27.71,98,8,4,43,19,85202,0
639261,3,0,75,3,8.66,98,5,1,27,15,85204,0
639608,2,0,51,3,18.69,99,0,55,25,53,85283,0
639613,1,0,58,2,83.01,98,12,20,20,39,85283,0
639625,2,0,75,3,2.49,99,0,3,3,98,85283,0
639627,1,0,90,3,95.32,98,98,2,72,50,85283,0
639855,1,1,80,3,97.13,98,98,0,81,94,85282,0
640127,1,1,61,3,96.5,99,98,89,85,75,85283,0
640174,2,1,85,3,8.74,98,0,2,6,88,85283,0
640192,3,0,87,3,18.55,84,10,3,26,97,85282,0
640434,3,0,71,3,40.52,99,7,3,42,51,85282,0
640507,1,1,73,3,89.45,98,98,4,65,35,85203,0
640643,1,0,85,3,96.15,75,97,3,67,11,85283,0
640701,2,1,72,3,7.04,99,2,5,11,61,85283,0
640708,2,1,72,3,7.51,86,2,5,14,99,85283,0
640717,2,0,67,3,6.17,98,0,1,11,25,85283,0
641204,3,0,38,3,19.84,67,1,41,24,30,85204,0
641740,1,1,81,3,96.44,99,29,3,18,98,85283,0
641849,2,0,72,3,9.51,99,0,2,13,35,85202,0
642076,1,0,75,3,96.83,99,93,4,77,17,85283,0
642471,2,0,70,3,20.95,54,2,7,10,10,85203,0
642636,1,1,78,3,74.11,99,0,2,6,94,85282,0
642840,2,1,61,3,6.64,99,0,32,4,97,85283,0
643799,1,0,82,3,94.38,98,98,1,91,96,85282,0
643906,1,0,60,3,90.58,85,80,17,24,98,85202,0
644280,3,1,90,3,11.53,81,54,1,20,93,85282,1
645169,3,0,79,3,50.36,99,0,1,10,87,85282,0
645527,1,0,68,3,96.21,98,67,5,60,95,85283,0
645989,3,0,74,3,24.18,87,13,1,17,92,85282,0
646141,2,0,90,3,5.9,97,1,3,7,60,85282,0
648253,1,1,58,2,90.09,98,95,66,51,92,85204,0
648292,2,1,68,3,6.39,98,1,13,8,73,85203,0
648927,1,0,40,3,94.93,93,99,85,92,97,85204,0
649958,3,1,70,3,72.17,99,41,2,50,56,85202,1
650629,3,0,87,3,86.84,75,86,4,86,98,85282,0
652150,1,0,64,3,98.39,99,99,5,96,12,85204,0
652369,2,1,60,3,6.36,92,1,48,11,96,85204,0
652873,1,1,63,3,74.0,67,95,16,74,46,85202,0
653592,2,0,54,3,6.79,99,1,90,6,53,85204,0
654199,2,1,65,3,5.4,99,0,41,4,98,85203,0
654346,2,0,47,3,5.18,90,1,98,5,90,85213,0
